live.com,65.55.206.154
youtube.com,216.58.217.46
wikipedia.org,208.80.153.224
yahoo.com,98.138.253.109
baidu.com,111.13.101.208
microsoft.com,104.40.211.35
qq.com,61.135.157.156
msn.com,23.101.196.141
blogspot.com,64.233.191.191
taobao.com,110.75.115.70
bing.com,204.79.197.200
soso.com,106.120.151.169
163.com,123.58.180.8
twitter.com,199.59.148.82
youku.com,123.126.99.31
sdjjdsaf.com,123.126.99.31
andysayler.com,162.243.49.20
adobe.com,192.150.16.117
facebook.com,173.252.120.68
amazon.com,54.239.17.7
mozilla.com,63.245.213.24
tudou.com,123.126.98.147
yahoo.co.jp,183.79.135.206
apple.com,17.178.96.59
hao123.com,180.149.131.31
windows.com,191.237.78.58
ebay.com,66.135.216.190
pps.tv,58.83.190.154
xunlei.com,182.118.18.100
wordpress.com,192.0.78.17
fc2.com,52.88.15.137
ask.com,66.235.120.127
paypal.com,66.211.169.66
wmfo.org,23.92.21.128
tmall.com,140.205.130.99
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
orkut.com.br,173.194.74.118
about.com,207.241.148.80
sohu.com,220.181.90.20
sina.com.cn,202.108.33.60
56.com,101.227.173.126
sogou.com,106.120.188.47
